place_id,user_ratings_total,rating
ChIJTQw1gi0PZ0gRK8HVZ0r-RB4,321,4
ChIJj7Y0ZP0PZ0gRSD_CXNhOPK4,151,4.5
ChIJJWG0UUMPZ0gRodhW0V5VW08,227,4.5
ChIJ4Yb7bh0MZ0gRKUiypwnhPYk,284,4.1
ChIJt1qOCwAPZ0gRahyAbYvKKhw,52,4.4
ChIJf7cAm4IOZ0gRuS3jmXjiWz8,2864,4.6
ChIJO0lwCQAPZ0gRj7LGckPVXUc,272,4.4
ChIJo8A1M50OZ0gR62M6laBPHrw,1329,4.3
ChIJm5du_qkPZ0gRzMogF6Oyor4,435,4.5
ChIJx6WlI50OZ0gR6Eli4OM3-78,1670,4.3
ChIJ-dm1ZJsOZ0gRRSmTpqtFkkE,2386,4.2
ChIJ7VJM8oQOZ0gRw5wcMN1XENE,3495,3.9
ChIJOVGs-CcMZ0gR5EMUIg2Dlyc,1562,4.3
ChIJpxRpfQAPZ0gRjRXfgldTHFU,3996,4.8
ChIJ37-CAqAOZ0gRTeI8Q3bgrtQ,954,4.3
ChIJoY5QhXQPZ0gRex7-z809k34,447,4.4
ChIJmQLrjb0PZ0gRtPdwjMFbjsk,135,3.8
ChIJZ73aGZ4OZ0gRSABQFqyvqAk,699,4
ChIJ_Z3l6wMPZ0gReCUnW2eOXHo,16,4.6
ChIJ_5dPnKUNZ0gRA8wlWuwVWmA,118,3.8
ChIJeRzLvIQOZ0gRi1PVJmhdvTc,2083,4.5
ChIJpQbRiLcPZ0gRFIaPUnssdIU,307,4.5
ChIJFZRbY6MPZ0gRLZQB4EcKwG8,126,3.6
ChIJ21Xt_18OZ0gR04xMPZPrLV0,1817,4.6
ChIJyUZkH9YNZ0gR8bM8VuHb1HQ,204,3.6
ChIJDzq-doIOZ0gRqDaSGzMdqGA,1401,4
ChIJxa-BkMAOZ0gRmFrGQZgA7Cc,263,3.9
ChIJw7yz83QNZ0gRqGjFJZKnWNU,362,4.5
ChIJ7bcsQVMNZ0gRDMtpsBNHm1A,715,4.7
ChIJ3Qd9zHAPZ0gRHFL5xMiKi0Q,395,3.3
ChIJG-5b3ZsOZ0gRelL4mJ0ROiI,2968,4.4
ChIJFZsm758OZ0gRcGdjXYpOBRs,1813,4.4
ChIJjx5CaAoPZ0gRd2lUZFrend0,169,4.3
ChIJ02H13z4NZ0gRqoDDJW13vBk,195,4.8
ChIJCVT7bosPZ0gR52zIVlr6-vQ,304,4.3
ChIJVarpZbgNZ0gRo7k6OyGFpSA,152,4
ChIJwbOb3KwPZ0gRa78tB1JFEns,78,4.1
ChIJAWYKRc8PZ0gRSfghkE6Wxao,516,4.4
ChIJu8xt2m4PZ0gRg1KR85EVkd4,954,4
ChIJCSpqVSENZ0gRBfQ5PJgUL10,533,4.7
ChIJnbXIDSIMZ0gRIp4Cjykvv8c,1975,4.5
ChIJ7VTe3_sPZ0gRzVhs44ff7Ig,724,4.6
ChIJLWcqCPENZ0gR36tB0mxrKD8,339,4.5
ChIJBTrxuVYJZ0gRUkaZZF362wU,104,3.9
ChIJq6pnNYkOZ0gRIFoNVC1ei_o,1274,4.2
ChIJz_GM7KUOZ0gRKJNfxg5uios,1005,3.9
ChIJ63VMt5EOZ0gRlGO-wjdc7aI,1088,4.2
ChIJjWdqUK0PZ0gRp2unx_gXFOk,55,3.8
ChIJ1TImPqAPZ0gRUJPL00L1614,349,4.7
ChIJSfj1I4cPZ0gREGXr1mnRyNU,2617,4.1
ChIJ2bAxC4IOZ0gRQIhoorNME5o,900,4.4
ChIJhXU6CAANZ0gRIbDRRKr-XR0,676,4.3
ChIJzeeBPI8OZ0gRQ696vb_3d_A,1157,4.4
ChIJTxc8y2QOZ0gRVPYdqGVXZLI,2462,4.7
ChIJTUEea5wOZ0gRqQUO01ziNtE,1304,4.3
ChIJZ2RALIMOZ0gRv-16u6LugpY,2034,4.3
ChIJI1-tJQAPZ0gRQ4zLNjoQVZI,666,4.8
ChIJ4613K_gNZ0gR8pBOhAmPckc,565,4.3
ChIJwSV03eAPZ0gRSVBBQXMSUJI,557,4.7
ChIJYXiyLoQOZ0gRWpbfNReD6K8,1346,4.3
ChIJw4XlvmoMZ0gRGQcXN-CBy80,91,3.1
ChIJ4TrF7SMNZ0gRTQXVAM5vFDo,73,3.9
ChIJ8XtpTuYPZ0gRMvS4YzcWpx8,158,4.5
ChIJxYp672QPZ0gRllZOuZUcUvw,1122,4.6
ChIJ969dN4QOZ0gRL6CWk95jQ-s,484,4
ChIJg1Bez0APZ0gRR9JjRtKRWS0,638,4.4
ChIJ74xUB7oNZ0gRG_MRUKYaY0c,415,4.3
ChIJzTIQ0TENZ0gRN-_L1atDdOc,89,4.9
ChIJk7Wf84QPZ0gRPNUdoC7aRNU,35,4.3
ChIJTbeNJmAPZ0gRdOqgo2T9nmM,18,3.9
ChIJ_0B-8ZsOZ0gRaw56Nz6XUh8,937,4.2
ChIJYdlKHBAPZ0gRTDlWOBBaROI,648,4.6
ChIJT-3K6s0NZ0gRw4_2I79z_18,248,4.5
ChIJHdQJQCYPZ0gR3xQFK3hZQ5A,12,3.3
ChIJrxft_E4PZ0gRNel2aTf8_4A,134,4.3
ChIJ-W02KYQOZ0gRReFEYj4kpI0,135,4
ChIJ63Hd5YYOZ0gR9tTzRQ_fy5Y,2611,4.4
ChIJm9w4hNANZ0gR8azS99PPX9g,1754,4.4
ChIJ-X5DeP8PZ0gRFZGruADS54s,2855,4.2
ChIJW0qfmWgPZ0gRbS2V0We8Hv8,279,4.6
ChIJEzjjE3gOZ0gR1auHlsitmFQ,189,3.6
ChIJ0ZTtgdgPZ0gRpxUa4Icu0eA,289,4.1
ChIJITOtSwAPZ0gR7AodfdFZXIs,50,4
ChIJxR5wtMwPZ0gR8Xrlh9drTPY,141,4.1
ChIJUcAzNMMPZ0gRCVe4ICwIDuY,218,4.6
ChIJ1elcqs8NZ0gRlAWmED3-Z1s,273,4.3
ChIJr6dSncAPZ0gRcPFcbgVW8nU,399,4.4
ChIJe1T-580NZ0gR1qkP8ew7KhQ,202,3.9
ChIJ9w60yqoPZ0gRPVC9KtEWHqY,2362,4.6
ChIJRelUNpwOZ0gR4TBZ01H2wjU,536,4.2
ChIJpwi-UKENZ0gRCGMItvfvAoE,75,4.7
ChIJpSu8nGAOZ0gRSRvKgMOAbzo,249,3.6
ChIJ42xZnKAOZ0gRKibHfoA3Stk,82,2.4
ChIJRyJAU4YOZ0gRcbfuyNZ4v7M,444,4.3
ChIJMZ0-mfMPZ0gR_w1dg6TCl6o,1363,4.5
ChIJ6wpYGtgNZ0gRxrcdQ31l7qM,134,3.9
ChIJhb4yyhcNZ0gRBCvsLGfV3Oo,94,4.2
ChIJs4hmVToPZ0gRDwb4f-OghJ0,119,2.8
ChIJGeCYgQcPZ0gR_x_yolT9odM,79,3.7
ChIJ50xlHaEOZ0gR8RIzcNCz2Q8,808,4.6
ChIJi6xGXAANZ0gRIdZGNLqJhTw,9,1
ChIJb0fg0OwJZ0gRtAFFCSSRXQY,43,4.5
ChIJP6_mkTIMZ0gRIaRm3tc-0pU,684,4.6
ChIJm_SYMp0NZ0gRpsHw3jsfWsA,404,4.5
ChIJVzGjvt0PZ0gR6TEZHtas74A,265,4.7
