place_id,lng,lat
ChIJ-etyEK8NZ0gRPQ_GP31lFw0,-6.3296757,53.3424636
ChIJBxT7noAOZ0gRsdHvnY3NjT8,-6.2656919,53.3558329
ChIJuSwU55ZS8DURiqkPryBWYrk,116.407395,39.904211
ChIJT5O2U9kPZ0gR64Bwki8gFPY,-6.2670093,53.3543948
ChIJO5k2s4cOZ0gRP52yC_v_1r4,-6.258481,53.3537196
ChIJW6fecH8NZ0gR6NSvIcYW0AE,-6.286527,53.3405981
ChIJU7s7ojUNZ0gRhPkXK7WojN8,-6.296106,53.3144666
ChIJr4Cn2JwOZ0gRfoQ6AmFgCEo,-6.2645061,53.344314
ChIJicEuVikMZ0gRA8dMc0eWQ68,-6.2757237,53.3500186
ChIJA4j22sYOZ0gR-myDYRu8NFE,-6.232285,53.3299859
ChIJ992An9UNZ0gRTRDrApTRN1w,-6.2730588,53.3585165
ChIJD20TjQoPZ0gRXIKqOfsHGAo,-6.1897311,53.358833
ChIJB73ZWbAPZ0gR1mJ4NqOVZpU,-6.2888923,53.3734907
ChIJb9W7gi4MZ0gRbHfTwBGDMW8,-6.27908,53.349852
ChIJ9ZqCCYIOZ0gRKyN08gQGPtY,-6.266972,53.3503906
ChIJTQw1gi0PZ0gRK8HVZ0r-RB4,-6.2495639,53.3522906
ChIJj7Y0ZP0PZ0gRSD_CXNhOPK4,-6.2712626,53.3505915
ChIJJWG0UUMPZ0gRodhW0V5VW08,-6.2695667,53.3519571
ChIJ4Yb7bh0MZ0gRKUiypwnhPYk,-6.2648281,53.3252028
ChIJt1qOCwAPZ0gRahyAbYvKKhw,-6.2595303,53.3497981
ChIJf7cAm4IOZ0gRuS3jmXjiWz8,-6.268034,53.3469477
ChIJO0lwCQAPZ0gRj7LGckPVXUc,-6.2583507,53.3501957
ChIJo8A1M50OZ0gR62M6laBPHrw,-6.2659075,53.3452334
ChIJm5du_qkPZ0gRzMogF6Oyor4,-6.2538444,53.3246439
ChIJx6WlI50OZ0gR6Eli4OM3-78,-6.2649747,53.3440517
ChIJ-dm1ZJsOZ0gRRSmTpqtFkkE,-6.2603056,53.3434901
ChIJ7VJM8oQOZ0gRw5wcMN1XENE,-6.2597689,53.3477029
ChIJOVGs-CcMZ0gR5EMUIg2Dlyc,-6.2682745,53.3446614
ChIJpxRpfQAPZ0gRjRXfgldTHFU,-6.2639102,53.3478595
ChIJ37-CAqAOZ0gRTeI8Q3bgrtQ,-6.2650728,53.3343976
ChIJoY5QhXQPZ0gRex7-z809k34,-6.265134,53.3328561
ChIJmQLrjb0PZ0gRtPdwjMFbjsk,-6.2518732,53.3510703
ChIJZ73aGZ4OZ0gRSABQFqyvqAk,-6.2659277,53.338653
